t,n,i,position,velocity,E_i
0,0,0,-1.5708,0.01,-0.000191748
0,0,1,1.5708,-0.01,0.00287621
0.111367,1,0,-1.56968,0.010032,-0.000191748
0.111367,1,1,1.56963,-0.0104805,0.00287621
0.222733,2,0,-1.56857,0.0100025,0.000265317
0.222733,2,1,1.5685,-0.010156,-0.00291341
0.3341,3,0,-1.56746,0.00996488,0.000337649
0.3341,3,1,1.5674,-0.00982744,-0.00295043
0.445466,4,0,-1.56635,0.00991937,0.000408698
0.445466,4,1,1.56635,-0.00949476,-0.00298724
0.556833,5,0,-1.56525,0.00986609,0.00047842
0.556833,5,1,1.56533,-0.009158,-0.00302383
0.668199,6,0,-1.56416,0.00980519,0.000546774
0.668199,6,1,1.56434,-0.0088172,-0.00306016
0.779566,7,0,-1.56308,0.00973685,0.000613717
0.779566,7,1,1.5634,-0.00847239,-0.0030962
0.890932,8,0,-1.562,0.00966121,0.000679206
0.890932,8,1,1.5625,-0.0081236,-0.00313193
1.0023,9,0,-1.56093,0.00957844,0.000743203
1.0023,9,1,1.56163,-0.00777086,-0.00316732
1.11367,10,0,-1.55988,0.00948871,0.000805665
1.11367,10,1,1.56081,-0.00741423,-0.00320235
1.22503,11,0,-1.55883,0.00939221,0.000866555
1.22503,11,1,1.56002,-0.00705374,-0.00323698
1.3364,12,0,-1.5578,0.0092891,0.000925833
1.3364,12,1,1.55927,-0.00668944,-0.0032712
1.44777,13,0,-1.55677,0.00917958,0.000983462
1.44777,13,1,1.55857,-0.00632137,-0.00330498
1.55913,14,0,-1.55576,0.00906382,0.00103941
1.55913,14,1,1.55791,-0.0059496,-0.00333831
1.6705,15,0,-1.55477,0.00894203,0.00109363
1.6705,15,1,1.55729,-0.00557416,-0.00337114
1.78186,16,0,-1.55379,0.00881439,0.00114609
1.78186,16,1,1.55671,-0.00519513,-0.00340348
1.89323,17,0,-1.55282,0.00868111,0.00119676
1.89323,17,1,1.55617,-0.00481255,-0.00343528
2.0046,18,0,-1.55187,0.00854239,0.00124561
2.0046,18,1,1.55568,-0.0044265,-0.00346654
2.11596,19,0,-1.55093,0.00839844,0.00129261
2.11596,19,1,1.55523,-0.00403702,-0.00349723
2.22733,20,0,-1.55001,0.00824946,0.00133771
2.22733,20,1,1.55482,-0.0036442,-0.00352734
2.3387,21,0,-1.54911,0.00809568,0.0013809
2.3387,21,1,1.55446,-0.00324808,-0.00355684
2.45006,22,0,-1.54823,0.0079373,0.00142214
2.45006,22,1,1.55415,-0.00284875,-0.00358572
2.56143,23,0,-1.54736,0.00777455,0.0014614
2.56143,23,1,1.55387,-0.00244628,-0.00361397
2.6728,24,0,-1.54652,0.00760765,0.00149866
2.6728,24,1,1.55365,-0.00204073,-0.00364156
2.78416,25,0,-1.54569,0.00743682,0.0015339
2.78416,25,1,1.55346,-0.00163218,-0.00366848
2.89553,26,0,-1.54488,0.0072623,0.00156707
2.89553,26,1,1.55333,-0.00122072,-0.00369471
3.0069,27,0,-1.54409,0.00708432,0.00159818
3.0069,27,1,1.55324,-0.000806405,-0.00372025
3.11826,28,0,-1.54332,0.00690311,0.00162718
3.11826,28,1,1.55319,-0.000389328,-0.00374508
3.22963,29,0,-1.54257,0.0067189,0.00165406
3.22963,29,1,1.5532,3.04343e-05,-0.00376919
3.341,30,0,-1.54185,0.00653194,0.0016788
3.341,30,1,1.55325,0.0004528,-0.00379257
3.45236,31,0,-1.54114,0.00634246,0.00170138
3.45236,31,1,1.55335,0.000877686,-0.0038152
3.56373,32,0,-1.54045,0.00615071,0.00172177
3.56373,32,1,1.55349,0.00130501,-0.00383708
3.6751,33,0,-1.53979,0.00595694,0.00173998
3.6751,33,1,1.55368,0.00173468,-0.00385821
3.78646,34,0,-1.53915,0.00576138,0.00175597
3.78646,34,1,1.55393,0.00216663,-0.00387856
3.89783,35,0,-1.53853,0.00556429,0.00176973
3.89783,35,1,1.55422,0.00260075,-0.00389814
4.0092,36,0,-1.53793,0.00536592,0.00178125
4.0092,36,1,1.55455,0.00303696,-0.00391694
4.12056,37,0,-1.53736,0.00516652,0.00179053
4.12056,37,1,1.55494,0.00347519,-0.00393495
4.23193,38,0,-1.5368,0.00496633,0.00179754
4.23193,38,1,1.55538,0.00391533,-0.00395218
4.3433,39,0,-1.53627,0.00476562,0.00180227
4.3433,39,1,1.55586,0.0043573,-0.00396861
4.45466,40,0,-1.53576,0.00456463,0.00180473
4.45466,40,1,1.5564,0.00480101,-0.00398425
4.56603,41,0,-1.53528,0.00436362,0.0018049
4.56603,41,1,1.55698,0.00524637,-0.00399909
4.6774,42,0,-1.53481,0.00416286,0.00180278
4.6774,42,1,1.55762,0.0056933,-0.00401313
4.78876,43,0,-1.53437,0.00396258,0.00179836
4.78876,43,1,1.5583,0.00614171,-0.00402638
4.90013,44,0,-1.53395,0.00376305,0.00179164
4.90013,44,1,1.55903,0.0065915,-0.00403884
5.0115,45,0,-1.53356,0.00356453,0.00178261
5.0115,45,1,1.55982,0.00704259,-0.0040505
5.12286,46,0,-1.53318,0.00336727,0.00177128
5.12286,46,1,1.56065,0.00749489,-0.00406137
5.23423,47,0,-1.53283,0.00317152,0.00175765
5.23423,47,1,1.56154,0.00794831,-0.00407146
5.34559,48,0,-1.5325,0.00297755,0.00174172
5.34559,48,1,1.56247,0.00840278,-0.00408077
5.45696,49,0,-1.53219,0.00278561,0.00172348
5.45696,49,1,1.56346,0.00885819,-0.00408931
5.56833,50,0,-1.5319,0.00259596,0.00170295
5.56833,50,1,1.5645,0.00931447,-0.00409707
5.67969,51,0,-1.53163,0.00240885,0.00168014
5.67969,51,1,1.56559,0.00977152,-0.00410408
5.79106,52,0,-1.53138,0.00222454,0.00165504
5.79106,52,1,1.56672,0.0102293,-0.00411034
5.90243,53,0,-1.53115,0.00204327,0.00162766
5.90243,53,1,1.56791,0.0106876,-0.00411586
6.01379,54,0,-1.53095,0.0018653,0.00159802
6.01379,54,1,1.56916,0.0111465,-0.00412064
6.12516,55,0,-1.53076,0.00169089,0.00156613
6.12516,55,1,1.57045,0.0116059,-0.00412471
6.23653,56,0,-1.53059,0.00152028,0.00153199
6.23653,56,1,1.57179,0.0120656,-0.00412807
6.34789,57,0,-1.53043,0.00139642,0.00111213
6.34789,57,1,1.57312,0.011885,0.00162169
6.45926,58,0,-1.53029,0.0012766,0.00107593
6.45926,58,1,1.57442,0.0117047,0.00161942
6.57063,59,0,-1.53016,0.00116079,0.00103991
6.57063,59,1,1.5757,0.0115245,0.00161752
6.68199,60,0,-1.53005,0.00104896,0.0010041
6.68199,60,1,1.57697,0.0113446,0.00161599
6.79336,61,0,-1.52994,0.000941107,0.000968494
6.79336,61,1,1.57821,0.0111647,0.0016148
6.90473,62,0,-1.52985,0.000837189,0.000933119
6.90473,62,1,1.57943,0.010985,0.00161396
7.01609,63,0,-1.52977,0.000737183,0.000897984
7.01609,63,1,1.58064,0.0108053,0.00161343
7.12746,64,0,-1.52969,0.000641062,0.000863106
7.12746,64,1,1.58182,0.0106257,0.00161322
7.23883,65,0,-1.52963,0.000548795,0.000828497
7.23883,65,1,1.58298,0.010446,0.0016133
7.35019,66,0,-1.52958,0.000460351,0.000794172
7.35019,66,1,1.58413,0.0102663,0.00161366
7.46156,67,0,-1.52954,0.000375697,0.000760145
7.46156,67,1,1.58525,0.0100865,0.00161429
7.57293,68,0,-1.52951,0.000294796,0.000726431
7.57293,68,1,1.58635,0.00990663,0.00161518
7.68429,69,0,-1.52948,0.000217614,0.000693044
7.68429,69,1,1.58744,0.00972663,0.00161631
7.79566,70,0,-1.52947,0.000144113,0.000659998
7.79566,70,1,1.5885,0.00954647,0.00161766
7.90703,71,0,-1.52946,7.42517e-05,0.000627307
7.90703,71,1,1.58954,0.00936614,0.00161924
8.01839,72,0,-1.52946,7.99018e-06,0.000594986
8.01839,72,1,1.59057,0.00918562,0.00162102
8.12976,73,0,-1.52946,-5.47145e-05,0.000563048
8.12976,73,1,1.59157,0.00900487,0.00162299
8.24113,74,0,-1.52948,-0.000113907,0.000531506
8.24113,74,1,1.59255,0.00882388,0.00162514
8.35249,75,0,-1.5295,-0.000169632,0.000500376
8.35249,75,1,1.59351,0.00864264,0.00162745
8.46386,76,0,-1.52952,-0.000221937,0.000469671
8.46386,76,1,1.59446,0.00846112,0.00162992
8.57523,77,0,-1.52955,-0.000270872,0.000439404
8.57523,77,1,1.59538,0.00827931,0.00163254
8.68659,78,0,-1.52959,-0.000316487,0.000409589
8.68659,78,1,1.59628,0.0080972,0.00163528
8.79796,79,0,-1.52963,-0.000358833,0.000380238
8.79796,79,1,1.59716,0.00791476,0.00163814
8.90932,80,0,-1.52967,-0.000397963,0.000351366
8.90932,80,1,1.59802,0.007732,0.00164111
9.02069,81,0,-1.52972,-0.000433933,0.000322986
9.02069,81,1,1.59886,0.00754889,0.00164418
9.13206,82,0,-1.52977,-0.000466798,0.00029511
9.13206,82,1,1.59968,0.00736543,0.00164733
9.24342,83,0,-1.52983,-0.000496617,0.00026775
9.24342,83,1,1.60048,0.00718162,0.00165056
9.35479,84,0,-1.52988,-0.000523447,0.000240921
9.35479,84,1,1.60126,0.00699743,0.00165385
9.46616,85,0,-1.52994,-0.00054735,0.000214633
9.46616,85,1,1.60202,0.00681288,0.00165719
9.57752,86,0,-1.53001,-0.000568387,0.000188898
9.57752,86,1,1.60276,0.00662794,0.00166058
9.68889,87,0,-1.53007,-0.000586621,0.00016373
9.68889,87,1,1.60348,0.00644263,0.001664
9.80026,88,0,-1.53014,-0.000602117,0.000139139
9.80026,88,1,1.60417,0.00625693,0.00166744
9.91162,89,0,-1.53021,-0.000614939,0.000115137
9.91162,89,1,1.60485,0.00607085,0.0016709
10.023,90,0,-1.53028,-0.000625155,9.17356e-05
10.023,90,1,1.6055,0.00588438,0.00167436
10.1344,91,0,-1.53035,-0.000632833,6.89451e-05
10.1344,91,1,1.60614,0.00569753,0.00167781
10.2457,92,0,-1.53042,-0.000638043,4.67765e-05
10.2457,92,1,1.60675,0.00551029,0.00168126
10.3571,93,0,-1.53049,-0.000640854,2.52403e-05
10.3571,93,1,1.60735,0.00532268,0.00168468
10.4685,94,0,-1.53056,-0.000641338,4.34656e-06
10.4685,94,1,1.60792,0.00513468,0.00168806
10.5798,95,0,-1.53063,-0.000639568,-1.58947e-05
10.5798,95,1,1.60847,0.00494632,0.00169141
10.6912,96,0,-1.5307,-0.000635617,-3.54738e-05
10.6912,96,1,1.609,0.00475758,0.00169471
10.8026,97,0,-1.53077,-0.000629561,-5.43815e-05
10.8026,97,1,1.60951,0.00456849,0.00169796
10.9139,98,0,-1.53084,-0.000621475,-7.26087e-05
10.9139,98,1,1.60999,0.00437904,0.00170115
11.0253,99,0,-1.53091,-0.000611435,-9.01467e-05
11.0253,99,1,1.61046,0.00418924,0.00170426
11.1367,100,0,-1.53098,-0.00059952,-0.000106987
11.1367,100,1,1.61091,0.0039991,0.0017073
11.248,101,0,-1.53104,-0.000585809,-0.000123122
11.248,101,1,1.61133,0.00380864,0.00171026
11.3594,102,0,-1.53111,-0.00057038,-0.000138543
11.3594,102,1,1.61173,0.00361785,0.00171312
11.4708,103,0,-1.53117,-0.000553314,-0.000153243
11.4708,103,1,1.61212,0.00342676,0.0017159
11.5821,104,0,-1.53123,-0.000534692,-0.000167214
11.5821,104,1,1.61248,0.00323537,0.00171857
11.6935,105,0,-1.53129,-0.000514595,-0.000180451
11.6935,105,1,1.61281,0.00304369,0.00172113
11.8049,106,0,-1.53134,-0.000493108,-0.000192947
11.8049,106,1,1.61313,0.00285174,0.00172358
11.9162,107,0,-1.53139,-0.000470311,-0.000204695
11.9162,107,1,1.61343,0.00265953,0.00172592
12.0276,108,0,-1.53144,-0.000446291,-0.00021569
12.0276,108,1,1.6137,0.00246708,0.00172814
12.139,109,0,-1.53149,-0.00042113,-0.000225926
12.139,109,1,1.61396,0.00227439,0.00173023
12.2503,110,0,-1.53153,-0.000394915,-0.000235398
12.2503,110,1,1.61419,0.00208148,0.00173219
12.3617,111,0,-1.53157,-0.00036773,-0.000244103
12.3617,111,1,1.6144,0.00188837,0.00173401
12.4731,112,0,-1.53161,-0.000339662,-0.000252034
12.4731,112,1,1.61459,0.00169507,0.0017357
12.5844,113,0,-1.53165,-0.000310797,-0.000259189
12.5844,113,1,1.61475,0.0015016,0.00173725
12.6958,114,0,-1.53168,-0.000281222,-0.000265565
12.6958,114,1,1.6149,0.00130797,0.00173866
12.8072,115,0,-1.53171,-0.000251024,-0.000271156
12.8072,115,1,1.61502,0.0011142,0.00173993
12.9185,116,0,-1.53173,-0.000220291,-0.000275962
12.9185,116,1,1.61513,0.000920305,0.00174104
13.0299,117,0,-1.53175,-0.000189111,-0.00027998
13.0299,117,1,1.61521,0.000726304,0.00174201
13.1413,118,0,-1.53177,-0.000157571,-0.000283207
13.1413,118,1,1.61527,0.000532211,0.00174282
13.2526,119,0,-1.53178,-0.00012576,-0.000285642
13.2526,119,1,1.6153,0.000338045,0.00174349
13.364,120,0,-1.53179,-9.37661e-05,-0.000287283
13.364,120,1,1.61532,0.000143822,0.001744
13.4754,121,0,-1.5318,-6.1678e-05,-0.00028813
13.4754,121,1,1.61531,-5.04414e-05,0.00174436
13.5867,122,0,-1.5318,-2.95841e-05,-0.000288183
13.5867,122,1,1.61529,-0.000244727,0.00174456
13.6981,123,0,-1.5318,2.42713e-06,-0.00028744
13.6981,123,1,1.61524,-0.000439019,0.00174461
13.8095,124,0,-1.5318,3.42672e-05,-0.000285904
13.8095,124,1,1.61517,-0.000633298,0.00174451
13.9208,125,0,-1.53179,6.58478e-05,-0.000283573
13.9208,125,1,1.61508,-0.000827549,0.00174425
14.0322,126,0,-1.53178,9.70805e-05,-0.000280449
14.0322,126,1,1.61496,-0.00102175,0.00174384
14.1436,127,0,-1.53177,0.000127877,-0.000276534
14.1436,127,1,1.61483,-0.0012159,0.00174328
14.2549,128,0,-1.53175,0.00015815,-0.00027183
14.2549,128,1,1.61467,-0.00140996,0.00174257
14.3663,129,0,-1.53173,0.000187811,-0.000266338
14.3663,129,1,1.61449,-0.00160393,0.00174171
14.4777,130,0,-1.53171,0.000216773,-0.000260062
14.4777,130,1,1.61429,-0.00179779,0.00174071
14.589,131,0,-1.53168,0.000244949,-0.000253004
14.589,131,1,1.61407,-0.00199152,0.00173957
14.7004,132,0,-1.53165,0.000272253,-0.000245167
14.7004,132,1,1.61383,-0.0021851,0.00173828
14.8118,133,0,-1.53161,0.000298597,-0.000236556
14.8118,133,1,1.61356,-0.00237853,0.00173686
14.9231,134,0,-1.53158,0.000323897,-0.000227174
14.9231,134,1,1.61327,-0.00257179,0.0017353
15.0345,135,0,-1.53154,0.000348066,-0.000217026
15.0345,135,1,1.61297,-0.00276485,0.00173361
15.1459,136,0,-1.5315,0.000371021,-0.000206116
15.1459,136,1,1.61264,-0.00295772,0.0017318
15.2572,137,0,-1.53145,0.000392676,-0.000194451
15.2572,137,1,1.61229,-0.00315037,0.00172987
15.3686,138,0,-1.53141,0.000412949,-0.000182035
15.3686,138,1,1.61191,-0.00334279,0.00172782
15.48,139,0,-1.53136,0.000431756,-0.000168875
15.48,139,1,1.61152,-0.00353497,0.00172565
15.5913,140,0,-1.53131,0.000449015,-0.000154976
15.5913,140,1,1.61111,-0.00372689,0.00172338
15.7027,141,0,-1.53126,0.000464644,-0.000140345
15.7027,141,1,1.61067,-0.00391856,0.00172101
15.8141,142,0,-1.53121,0.000478564,-0.000124989
15.8141,142,1,1.61021,-0.00410994,0.00171854
15.9254,143,0,-1.53115,0.000490694,-0.000108916
15.9254,143,1,1.60973,-0.00430105,0.00171598
16.0368,144,0,-1.53109,0.000500954,-9.21334e-05
16.0368,144,1,1.60923,-0.00449186,0.00171333
16.1482,145,0,-1.53104,0.000509268,-7.46484e-05
16.1482,145,1,1.60871,-0.00468236,0.00171061
16.2595,146,0,-1.53098,0.000515556,-5.64697e-05
16.2595,146,1,1.60817,-0.00487255,0.00170782
16.3709,147,0,-1.53092,0.000519744,-3.76058e-05
16.3709,147,1,1.6076,-0.00506243,0.00170497
16.4823,148,0,-1.53086,0.000521756,-1.80657e-05
16.4823,148,1,1.60702,-0.00525198,0.00170206
16.5936,149,0,-1.53081,0.000521518,2.14162e-06
16.5936,149,1,1.60641,-0.00544121,0.0016991
16.705,150,0,-1.53075,0.000518956,2.30066e-05
16.705,150,1,1.60579,-0.0056301,0.0016961
16.8164,151,0,-1.53069,0.000513998,4.45194e-05
16.8164,151,1,1.60514,-0.00581865,0.00169307
16.9277,152,0,-1.53064,0.000506573,6.66701e-05
16.9277,152,1,1.60447,-0.00600686,0.00169002
17.0391,153,0,-1.53058,0.000496611,8.94484e-05
17.0391,153,1,1.60378,-0.00619473,0.00168695
17.1505,154,0,-1.53053,0.000484044,0.000112844
17.1505,154,1,1.60307,-0.00638226,0.00168387
17.2618,155,0,-1.53047,0.000468804,0.000136845
17.2618,155,1,1.60234,-0.00656944,0.0016808
17.3732,156,0,-1.53042,0.000450825,0.000161442
17.3732,156,1,1.60158,-0.00675628,0.00167774
17.4845,157,0,-1.53038,0.000430042,0.000186622
17.4845,157,1,1.60081,-0.00694279,0.0016747
17.5959,158,0,-1.53033,0.00040639,0.000212374
17.5959,158,1,1.60002,-0.00712896,0.00167169
17.7073,159,0,-1.53029,0.000379809,0.000238687
17.7073,159,1,1.5992,-0.0073148,0.00166873
17.8186,160,0,-1.53025,0.000350235,0.000265549
17.8186,160,1,1.59837,-0.00750032,0.00166582
17.93,161,0,-1.53021,0.000317611,0.000292946
17.93,161,1,1.59751,-0.00768552,0.00166296
18.0414,162,0,-1.53018,0.000281877,0.000320868
18.0414,162,1,1.59664,-0.0078704,0.00166019
18.1527,163,0,-1.53016,0.000242976,0.000349301
18.1527,163,1,1.59574,-0.00805499,0.0016575
18.2641,164,0,-1.53013,0.000200854,0.000378232
18.2641,164,1,1.59482,-0.00823929,0.0016549
18.3755,165,0,-1.53012,0.000155456,0.00040765
18.3755,165,1,1.59388,-0.00842332,0.00165241
18.4868,166,0,-1.5301,0.000106728,0.000437539
18.4868,166,1,1.59292,-0.00860708,0.00165003
18.5982,167,0,-1.5301,5.46212e-05,0.000467888
18.5982,167,1,1.59194,-0.00879058,0.00164779
